name,alpha_acid,origin,beta_acid,notes,substitutes,total_oil,myrcene,humulene,cohumulone,caryophyllene,farnesene
Keyworth’s Early,8.6,UK,3.3,Lemon and grapefruit notes,Keyworth’s Midseason,0.695,45,22,33,7,0.0
Record,9.5,Belgium,6,"Pleasant European aroma, mildly fruity",Northern Brewer,0.91,50,26,27,8.2,0.16
Spalter Select,4.75,Germany,3.5,"Citrus, Woody, Black tea, Camomile blossom","Saaz, Tettnanger, Spalt, Hersbrucker, Perle, Hallertau Tradition",0.85,45,17.5,24,7,12.5
Star,3.2,Belgium,1.7,Pleasing continental-style aroma,,0.235,34,33.9,24,11.7,3.7
Glacier,6.5,Unknown,7.7,"Plum, Elderflower, Artichoke, Vanilla, Blackberry","Willamette, Fuggle (US), Tettnanger, Golding (US)",1.15,47.5,30,13.5,10,0.5
Early Prolific,4.7,UK,2.2,Pleasant continental-style aroma,,0.25,50,21.2,23,7,4.6
Ivanhoe,7.65,US,4.6,Mellow aroma of citrus and pine. Heady floral and herbal notes.,"Galena, Cluster, Northern Brewer",0.0,0.0,0.0,0.0,0.0,0.0
Cerera,5.5,Slovenia,4.25,Saaz-like aroma,,0.77,58,13.2,25,6,3
Citra®,12.5,US,3.75,"Jasmine, Spicy, Gooseberry, Lychee, Geranium","Simcoe®, Cascade (US), Centennial, Mosaic®",2.25,65,9.5,27.5,6.5,1
Legacy®,8.1,US,0.0,"Notes of blackberry, black currant, orange and grapefruit. Floral and spicy.","Cluster, Galena, Northern Brewer",0.0,0.0,0.0,0.0,0.0,0.0
Hallertau (NZ),8,New Zealand,7.15,"Distinct lime ‘zing’, delicately floral, clean tasting","Hallertau, Perle",0.95,41.5,13.4,31.5,7.1,5.85
Hallertauer Gold,8.5,Germany,6,Pleasing continental aroma,"Hallertau Mittelfrüh, Tettnanger, East Kent Golding, Crystal, Mount Hood",0.89,63,17,20,4.8,0.2
Jester®,8,UK,5,"Tropical fruit, grapefruit, blackcurrant, hints of lychee","Cascade, Challenger",0.8999999999999999,47.5,2,25.5,0.0,0.15000000000000002
Nordgaard,7.5,Uncertain (Belgium or Denmark),3.4,Pleasing continental aroma,,0.47,47,27,29,11,1.7
Goldings (NZ),4.1,New Zealand,4.699999999999999,,East Kent Golding,0.15,13.8,48.4,22.5,13.3,0.3
Amarillo™ VGXP01,9.5,US,6.5,Orange citrus flavor,"Cascade (US), Centennial, Ahtanum™, Chinook, Summer",1.7,69,10,22.5,3,3
Centennial,10.5,US,4,"Aniseed, Citrus, Floral","Chinook, Galena, Nugget, Zeus, Columbus, Cascade (US)",2,50,14,29,6.5,0.5
Apollo,17.5,US,6.75,"Sharp, clean bittering, grapefruit notes","Nugget, Columbus, Zeus, Magnum, Millennium",2,40,27.5,25.5,17,1
BOR,2.5,US,3.5,,,0.325,21,46,17,13,0.0
Hüll Melon,7.2,Germany,7.6,"Intensely fruity, flavors and aromas of honeydew melon, strawberry",,0.4,36,15,27.5,7.5,1
Keyworth’s Midseason,7.5,UK,3.1,,Fuggle,0.445,56,13,46,10,0.0
Delta,6.25,US,6.25,Spicy with notes of melon and citrus,"Cascade, Nelson Sauvin, Fuggle, Willamette",0.75,32.5,30,23,12,0.5
Pioneer,9,UK,3.75,"Clean bittering, aromas of citrus, lemon, grapefruit, herbs and cedar",East Kent Golding,1.4,33.5,23,38,7.5,0.5
Chelan,13.75,US,10,"Strawberry, Yoghurt, Cream","Galena, Nugget",1.7,50,13.5,34,10.5,1
Magnum,13,Germany,5,"Clean bitterness, subtle citrus flavors","Hallertauer Taurus, Columbus, Nugget",2.0999999999999996,32.5,37,24.5,10,0.5
Fuggle N,5.6,UK,3,,,0.475,48,24,26.4,8,4.2
Hersbrucker Red-Stem,5.5,Germany,5.5,Pleasing noble characteristics,,0.6,55,10,18,9,0.0
Nadwislanska,4,Poland,3.75,Noble aroma characteristics,,0.25,32,27,23,8.2,13.5
Willamette (AUS),6.1,Australia,4.8,"Mildly resinous, floral character","Fuggle, Styrian Golding, Tettnanger (US), Glacier, Styrian Golding",1.7,35,30,32.5,8.5,6
Columbus,16,US,5.25,"Lemon grass, Vanilla, Orange peel, Curry","Zeus, Chinook, Northern Brewer, Nugget, Target, Warrior®, Millenium, Bullion",3,40,17,31.5,9,0.5
Bitter Gold,17.1,US,7.05,"Use for bittering only, has no notable aroma","Galena, Nugget",2.365,68.2,7.5,38.5,8.4,1.2
Southern Brewer,8.8,Unknown,3.9,,Southern Promise,0.95,56,18,37.5,7,7.1
Canterbury Whitebine,0.0,UK,0.0,Delicate flavor,"East Kent Golding, Mathon",0.0,0.0,0.0,0.0,0.0,0.0
Equinox,15,US,5,"Notes of lemon and lime citrus, fruits like papaya and apple, green peppers and herbs",,3.5,0.0,0.0,35,0.0,0.0
Neoplanta,9.7,Slovenia,3.95,,,0.65,49,20,36,8.9,5
Polaris,20.5,Germany,5.25,"Banana, Woodruff, Bergamot, Pineapple, Mint",,4.5,0.0,27.5,25,10.5,1
Sussex,5.05,UK,2.8,Delicate tropical flavors and a unique fruit-forward aroma,"Progress, Whitbread Golding, Fuggle",0.5,42,23,30.5,0.0,1
Saxon,9,UK,4.5,Pleasant aroma,,0.475,54,11.8,20,5.6,6.7
Alliance,6.05,UK,3.3499999999999996,,,0.91,36.7,33,29,11.3,1.9
Herald,12.350000000000001,UK,5.15,,Pioneer,1.45,40,15,36,7,0.5
Eastwell Golding,6,UK,3,,,0.75,50,25,30,8,0.2
Mathon,5.550000000000001,UK,2.3499999999999996,Goldings-style aroma,"Bramling, East Kent Golding, Progress, Whitbread Golding",0.9,0.0,0.0,29,0.0,0.0
Buket,11,Slovenia,4.9,,,1.075,57,17,24,5.4,5.5
Chinook,13,Unknown,3.5,"Red Berries, Fennel, Basil, Elderberry, Lychee","Galena, Eroica, Nugget, Bullion, Columbus, Northern Brewer, Target",2.1,37.5,21.5,31.5,10,0.5
Hüller Bitterer,5.75,Germany,5,,,1.25,39.5,15,28.5,6.5,0.5
Styrian Wolf,14.25,Slovenia,5.5,,,2.9000000000000004,65,7,22.5,2.5,5.5
Blato,4.5,Czech Republic,3.5,Similar delicate aroma profile to other Saaz hops,,0.325,47,18,21,5,11.2
Bramling,5.8,UK,3,Pleasant European aroma,"Whitbread Golding, Progress, East Kent Golding",0.45,0.0,0.0,27,0.0,0.0
Cascade (Australia),6,Australia,6,Same as Cascade (US) but with notes of grapefruit,"Hallertau, East Kent Golding",1.05,50,50,36.5,6,7
Mount Hood,6,US,6.5,Noble hop aroma,"Crystal, Strisselspalter, Hersbrucker",1.35,35,25,22,11.5,0.5
Fantasia®,4.3,Unknown,0.0,"Fruit, noble aromas, cream, caramel",,0.45,0.0,0.0,0.0,0.0,0.0
Super Galena,14.5,United States,9,"Plum, Juniper, Honey, Strawberries",,31.25,45,0.0,0.0,0.0,0.0
Tsingdao Flower,7,China,3.6,"Grapefruit, Cream, Cassis, Tabacco",,27.9,45,0.0,0.0,0.0,0.0
Amarillo® VGXP01 c.v.,9.5,United States,6.5,"Black tea with lemon, Melon, Apricot, Grapefruit",,35.95,68,0.0,0.0,0.0,0.0
Topaz™,16.75,Australia,6.5,"Blackberry, Grapefruit, Blueberry, Passion fruit, Spicy",,22.6,25,0.0,0.0,0.0,0.0
Northern Brewer,9,United States,4,,,1.75,0.0,0.0,0.0,0.0,0.0
Hallertauer Magnum,13.5,Germany,6,"Apple, Lemon, Mint, Chocolate, Green peppers",,23.8,30,0.0,0.0,0.0,0.0
Enigma™,15,Australia,5.6,"Nutmeg, Passion fruit, Red currant, Camomile, Rose hip",,19,20,0.0,0.0,0.0,0.0
Mosaic®,12.5,United States,3.55,"Gooseberry, Pear, Mandarin, Lime, Peach",,31.25,47,0.0,0.0,0.0,0.0
Extra Styrian Dana,15.65,Slovenia,5.1,"Juniper, Orange, Wild garlic, Pear",,31.95,42,0.0,0.0,0.0,0.0
Summit®,17,United States,5,"Wild garlic, Aniseed, Gooseberry, Incense, Pepper",,26.25,35,0.0,0.0,0.0,0.0
Fuggles,4.3,Great Britain,2.5,"Curry, Celeriac, Green tea, Hay",,14.7,24,0.0,0.0,0.0,0.0
Diamant,0.0,Germany,0.0,"Fennel, Lavender, Citrus",,0.0,0.0,0.0,0.0,0.0,0.0
Hersbrucker Spät,2.75,Germany,4.25,"Citrus, Black tea, Melissa, Marjoram",,15.5,15,0.0,0.0,0.0,0.0
Talus™,8.8,United States,9.25,"Pink Grapefruit, Pine, Resin, Dried Roses",,25,40,0.0,0.0,0.0,0.0
Ella™,14.8,Australia,7,"Citrus, Lavender, Bergamot oil, Sage, Melissa",,23.2,33,0.0,0.0,0.0,0.0
Lublin,3.75,Poland,3.5,"Lemon tea, Curry, Dill, Juniper, Floral",,15.05,22,0.0,0.0,0.0,0.0
Azacca™,15,United States,4.75,"Gooseberry, Celeriac, Grapefruit, Pineapple, Peach",,28.5,46,0.0,0.0,0.0,0.0
Saazer,4.5,Czech Republic,6.25,"Bergamot, Honey, Woody, Camomile tea, Spicy",,20.5,25,0.0,0.0,0.0,0.0
Loral®,11,United States,5,,,20.75,37,0.0,0.0,0.0,0.0
Wye Challenger,7.5,Great Britain,3.4,"Banana, Gingerbread, Cognac",,16.75,28,0.0,0.0,0.0,0.0
Kazbek,6.5,Czech Republic,5,"Raspberry, Peach, Orange, Passion fruit, Chocolate",,28.4,40,0.0,0.0,0.0,0.0
Relax,0.9,Germany,12.5,"Cognac, Lychee, Rose hip, Lavender, Leather",,15.65,17,0.0,0.0,0.0,0.0
Hallertauer Mittelfrüher,4.25,Germany,4,"Aniseed, Blackberry, Liquorice, Citrus fruits, Bergamot",,14.65,20,0.0,0.0,0.0,0.0
Endeavour,9.05,Great Britain,4.55,"Blackberry, Bergamot, Gingerbread, Lemon, Watermelon",,19.4,27,0.0,0.0,0.0,0.0
Mt. Hood,5.5,United States,6.5,"Honey, Tarragon, Lemon tea, Lemon cake, Fennel",,20.85,30,0.0,0.0,0.0,0.0
Pahto,18.5,United States,5.25,"Earth, Pepper, Plum, Resin",,26,48,0.0,0.0,0.0,0.0
Galaxy,13.5,Australia,5.75,"Peach, Blackberries, Blueberries, Cassis, Aniseed",,25.85,33,0.0,0.0,0.0,0.0
Whitbread Golding Variety (WGV),6.550000000000001,Great Britain,2.65,"Fig, Banana, Liquorice, Apricot",,14.1,24,0.0,0.0,0.0,0.0
National,5.5,Ukraine,0.0,"Chocolate, Bergamot, Straw, Gerbera, Wild garlic",,0.0,0.0,0.0,0.0,0.0,0.0
Harmonie,6.5,Czech Republic,6.5,"Banana, Creamy, Green tea, Apricot, Caramel",,20.7,30,0.0,0.0,0.0,0.0
Sybilla,7.25,Poland,4,"Chocolate, Orange, Gingerbread, Barrique, Tobacco",,26.05,30,0.0,0.0,0.0,0.0
Magnat,13.5,Poland,5,"Citrus, Woody, Camomile blossom, Kitchenherbs, Lemon cake",,30.5,30,0.0,0.0,0.0,0.0
Cluster,7,United States,5,"Strawberry, Lemon tea, Apricot, Creamy, Grapefruit",,27.9,45,0.0,0.0,0.0,0.0
Tettnang Tettnanger,4,Germany,4,"Floral, Bergamot, Lily of the Valley, Cognac, Chocolate",,17.95,20,0.0,0.0,0.0,0.0
Spalt Spalter,4,Germany,4,"Tea, Barrique, Ripe banana, Tonka beans, Woodruff",,17.95,20,0.0,0.0,0.0,0.0
Callista,3.5,Germany,7.5,"Strawberry, Pear, Caramel, Passion fruit, Orange",,32.8,54,0.0,0.0,0.0,0.0
Ariana,11.5,Germany,5.25,"Passion fruit, Pineapple, Quince, Jasmine, Tangerine",,30,47,0.0,0.0,0.0,0.0
Styrian Savinjski Golding,5.25,Slovenia,3,"Lemon tea, Peppermint, Lemon grass",,17,27,0.0,0.0,0.0,0.0
Wye Target,11,Great Britain,5,"Tobacco, Elderberry, Caramel, Vanilla, Cognac",,28.2,45,0.0,0.0,0.0,0.0
Monroe,2.8499999999999996,Germany,7,"Strawberry, Passion fruit, Cherry, Red currant, Plum",,0.0,0.0,0.0,0.0,0.0,0.0
Saaz Late,4.75,Czech Republic,5.25,"Passion fruit, Lemon, Raspberry, Blackberry, Camomile tea",,18,25,0.0,0.0,0.0,0.0
Huell Melon,7.5,Germany,7,"Wild strawberry, Geranium, Peach iced tea, Aniseed",,22.05,26,0.0,0.0,0.0,0.0
Brewers Gold,5.5,Great Britain,3,"Lemon, Redcurrant, Melissa, Spices",,25.9,40,0.0,0.0,0.0,0.0
Cascade,5.75,United States,5.9,"Strawberry, Citrus, Blackberry, Lychee, Toffee",,30.7,45,0.0,0.0,0.0,0.0
Triple Pearl,10.75,United States,3.75,,,28.4,39,0.0,0.0,0.0,0.0
Palisade,7.5,United States,7,"Apricot, Orange, Passion fruit, Honey, Yoghurt",,5.8,9,0.0,0.0,0.0,0.0
Marco Polo,12.5,China,5,"Lemon, Lemon blam, Gooseberry, Oregano, Elderflower",,25,40,0.0,0.0,0.0,0.0
Ekuanot®,15,United States,5,"Guava, Fennel, Strawberry, Grapefruit, Gooseberry",,24.75,30,0.0,0.0,0.0,0.0
